step,finding_id,description,values
1,environment.resolved,"Interpreter, resolved package versions, matplotlib backend and the single RNG seed recorded. Package versions were checked against requirements.lock.txt.","{""machine"":""arm64"",""matplotlib_backend"":""Agg"",""matplotlib_version"":""3.11.1"",""n_resamples"":10000,""packages"":{""matplotlib"":""3.11.1"",""numpy"":""2.5.3"",""pandas"":""3.0.5"",""scipy"":""1.18.1"",""statsmodels"":""0.15.0""},""platform"":""macOS-26.6.2-arm64-arm-64bit"",""python_implementation"":""CPython"",""python_version"":""3.12.14"",""random_seed"":20260910}"
2,input.checksum_verified,Raw input located and its SHA-256 verified against the value recorded in assumptions.md entry A-072.,"{""dataset_slug"":""mursideyarkin/mobile-games-ab-testing-cookie-cats"",""file_name"":""cookie_cats.csv"",""recorded_row_count"":90189,""sha256"":""5ab54d761fbddcd50de7b88e4eaf7837cba4569474f50c043a4d17ee342c46bd""}"
4,input.raw_shape,Raw row count and column set recorded.,"{""columns"":[""userid"",""version"",""sum_gamerounds"",""retention_1"",""retention_7""],""raw_rows"":90189}"
4,input.row_count_vs_record,"Raw row count pandas sees, compared against the data-row count recorded in assumptions.md A-072. Both exclude the header row. Step 20 asserts they are equal.","{""agree"":true,""observed"":90189,""recorded"":90189}"
5,structural.gate_passed,"Every value in version, retention_1, retention_7 and sum_gamerounds lies inside its column's token sets. The file is the file ARCHITECTURE.md describes.","{""distinct_tokens"":{""retention_1"":2,""retention_7"":2,""sum_gamerounds"":942,""version"":2}}"
7,unassignable.count,"Rows whose version is missing were never assigned, so they enter neither arm of the SRM denominator and are excluded from everything.","{""count"":0,""raw_rows"":90189,""share_of_raw_rows"":0.0,""threshold"":0.001}"
8,srm.result,"Sample ratio mismatch tested on the assignment population against a hypothesised 1:1 allocation (A-008), by two-sided exact binomial test with the 1-df chi-square goodness-of-fit statistic reported alongside. The denominator is fixed before any exclusion (§2.2).","{""chi2_df"":1,""chi2_p"":0.008607987810836243,""chi2_statistic"":6.9024049496058275,""control_count"":44700,""exact_binomial_p"":0.008692234389090954,""expected_per_arm"":45094.5,""failure_threshold"":0.001,""imbalance_rows"":-789,""n"":90189,""observed_control_share"":0.49562585237667567,""tripped"":false,""variant_count"":45489}"
9,coercion.assertions_passed,"Three-state coercion preserved the file: non-missing retention values are exactly {True, False}, state counts sum to the raw row count, every coerced state count equals its pre-coercion source-token total, version's non-missing values are exactly the arm set with the unassignable count equal to its missing count, and sum_gamerounds is a non-negative nullable integer.","{""retention_1"":{""false"":50036,""missing"":0,""true"":40153},""retention_7"":{""false"":73408,""missing"":0,""true"":16781},""sum_gamerounds"":{""max"":49854,""min"":0,""missing"":0},""version"":{""arms"":[""gate_30"",""gate_40""],""missing"":0}}"
10,duplicates.uniqueness_assertion,"userid uniqueness was asserted rather than assumed, and the result is reported whether or not duplicates exist (§5.2).","{""assignable_rows"":90189,""cross_arm"":0,""cross_arm_share_of_raw_rows"":0.0,""duplicate_userids_all_rows"":0,""duplicate_userids_assignable"":0,""rows_dropped_as_export_artefact"":0,""same_arm_conflicting"":0,""same_arm_identical"":0,""unique_assignable_userids"":90189,""userids_excluded_from_metrics"":0}"
11,missing.retention_1,"Missing values in retention_1, counted per arm and excluded from that metric only, never from the whole analysis (§5.3). Differential missingness between arms is reported regardless of whether any threshold is approached.","{""differential_pp"":0.0,""gate_30_assigned"":44700,""gate_30_missing"":0,""gate_30_share"":0.0,""gate_40_assigned"":45489,""gate_40_missing"":0,""gate_40_share"":0.0,""is_primary"":false}"
11,missing.retention_7,"Missing values in retention_7, counted per arm and excluded from that metric only, never from the whole analysis (§5.3). Differential missingness between arms is reported regardless of whether any threshold is approached.","{""differential_pp"":0.0,""gate_30_assigned"":44700,""gate_30_missing"":0,""gate_30_share"":0.0,""gate_40_assigned"":45489,""gate_40_missing"":0,""gate_40_share"":0.0,""is_primary"":true}"
12,populations.differential_exclusion,Post-exclusion arm counts reported next to the SRM result as a DESCRIPTIVE check on whether exclusions fell unevenly between arms (§2.2). No test and no threshold is attached: a second SRM-style test on a cleaned population would reintroduce exactly the cleaning-upstream-of-integrity problem the rule exists to prevent.,"{""rows"":[{""analysed"":44700,""arm"":""gate_30"",""assigned"":44700,""excluded"":0,""excluded_share_of_assigned"":0.0,""metric"":""retention_1""},{""analysed"":45489,""arm"":""gate_40"",""assigned"":45489,""excluded"":0,""excluded_share_of_assigned"":0.0,""metric"":""retention_1""},{""analysed"":44700,""arm"":""gate_30"",""assigned"":44700,""excluded"":0,""excluded_share_of_assigned"":0.0,""metric"":""retention_7""},{""analysed"":45489,""arm"":""gate_40"",""assigned"":45489,""excluded"":0,""excluded_share_of_assigned"":0.0,""metric"":""retention_7""}]}"
